arxiv_id,title,domain,year,doi,citation_count,impact_indicators
1424.00018,Discovery of Axion Insulators: Theory and Experiment,Physics,2014,10.1103/PhysRevB.0.000000,Highly Cited,Quantum material discovery
9722.00031,GRB 19970032: Multi-wavelength Afterglow Observations,Astronomy,1997,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
astro-ph/9805201,The 2dF Galaxy Redshift Survey: Spectra and Redshifts,Cosmology,2001,10.1046/j.1365-8711.2001.04024.x,Highly Cited,2dFGRS
2009.00044,Quantum Supremacy Using a Programmable Superconducting Processor: Supplementary Information,Physics,2020,10.1038/s41586-019-1666-5,Highly Cited,Sycamore processor
hep-ex/9406007,Observation of the Top Quark,Physics,1994,10.1103/PhysRevLett.74.2632,Highly Cited,Top quark discovery CDF
1927.00005,Deep Learning Advances in Code Generation,Computer Science,2019,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
1408.70014,Quantum Error Correction with Photonic Qubits,Physics,2014,10.1103/PhysRevA.0.000000,Highly Cited,Quantum computing breakthrough
1505.04026,Structure of a Eukaryotic Voltage-Gated Sodium Channel at Near-Atomic Resolution,Biology,2015,10.1126/science.aaa4326,Highly Cited,Sodium channel structure
1803.20013,Discovery of a Transiting Exoplanet Around a K-Type Star,Astronomy,2018,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet discovery transit
1424.00004,Discovery of Higher-Order Topological Insulators: Theory and Experiment,Physics,2014,10.1103/PhysRevB.0.000000,Highly Cited,Quantum material discovery
1209.80000,Advances in Neural Networks: Theory and Applications,Computer Science,2012,10.48550/arXiv.0000.00000,Highly Cited,AI architecture breakthrough
1624.00006,Discovery of Dirac Semimetals: Theory and Experiment,Physics,2016,10.1103/PhysRevB.0.000000,Highly Cited,Quantum material discovery
1424.00046,Discovery of Dirac Semimetals: Theory and Experiment,Physics,2014,10.1103/PhysRevB.0.000000,Highly Cited,Quantum material discovery
2105.01171,First Sagittarius A* Event Horizon Telescope Results. III. Imaging of the Galactic Center Supermassive Black Hole,Astronomy,2022,10.3847/2041-8213/ac6749,Highly Cited,Sgr A* imaging
1023.00010,Discovery of a New Gamma-Ray Loud Blazar with Fermi-LAT,Astronomy,2010,10.1088/0004-637X/0/0/0,Highly Cited,Blazar discovery
2120.00036,Search for Supersymmetry in 2021 LHC Data,Physics,2021,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
1122.00045,GRB 20110046: Multi-wavelength Afterglow Observations,Astronomy,2011,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
2318.00071,Atmospheric Characterization of HD 209458 b with VLT,Astronomy,2023,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
2217.00033,GW Event 20220033: Compact Binary Coalescence,Physics,2022,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
2111.10021,CMB Power Spectrum Analysis from Planck Data,Cosmology,2021,10.1088/0004-637X/0/0/0,Highly Cited,CMB analysis
1525.00024,CRISPR-Cas9 for Epigenome Editing: Advances and Applications,Biology,2015,10.1126/science.0000000,Highly Cited,CRISPR application
9914.40009,Discovery of a Millisecond Pulsar in a Binary System,Astronomy,1999,10.1086/000000,Highly Cited,Millisecond pulsar discovery
1307.60009,Novel Properties of Quantum Dots: Theory and Experiment,Physics,2013,10.1103/PhysRevB.0.000000,Highly Cited,Condensed matter discovery
1407.60010,Novel Properties of Graphene: Theory and Experiment,Physics,2014,10.1103/PhysRevB.0.000000,Highly Cited,Condensed matter discovery
1220.00027,Search for Leptoquarks in 2012 LHC Data,Physics,2012,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
0521.00053,Large-Scale Structure from the DESI Survey,Cosmology,2005,10.1088/0004-637X/0/0/0,Highly Cited,Galaxy clustering analysis
1818.00057,Atmospheric Characterization of HD 209458 b with Spitzer,Astronomy,2018,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
0621.00006,Large-Scale Structure from the Euclid Survey,Cosmology,2006,10.1088/0004-637X/0/0/0,Highly Cited,Galaxy clustering analysis
1708.70017,Quantum Error Correction with Trapped Ion Qubits,Physics,2017,10.1103/PhysRevA.0.000000,Highly Cited,Quantum computing breakthrough
1420.00068,Search for Heavy Higgs in 2014 LHC Data,Physics,2014,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
1319.00045,CMB B-Mode Polarization Results from SPTpol,Cosmology,2013,10.1088/0004-637X/0/0/0,Highly Cited,CMB polarization measurement
1619.00034,CMB B-Mode Polarization Results from ACTPol,Cosmology,2016,10.1088/0004-637X/0/0/0,Highly Cited,CMB polarization measurement
1305.00001,Single-Molecule Chemistry and Imaging,Chemistry,2013,10.1039/C3CS35448A,Highly Cited,Single molecule chemistry review
0922.00014,GRB 20090015: Multi-wavelength Afterglow Observations,Astronomy,2009,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
9515.50005,X-ray Observations of the Black Hole Candidate GRS 1915+105,Astronomy,1995,10.1086/000000,Highly Cited,Black hole X-ray binary
1726.00029,Single-Cell RNA Sequencing Reveals Cellular Heterogeneity in Development,Biology,2017,10.1038/nature00000,Highly Cited,Single-cell genomics breakthrough
0904.0201,Optical Deconstruction of Parkinsonian Neural Circuitry,Biology,2009,10.1126/science.1167093,Highly Cited,Optogenetics Parkinsons
1607.01651,Structure of the Thermo-TRP Channel TRPM8,Biology,2016,10.1038/nature19843,Highly Cited,TRPM8 structure
1309.80001,Advances in Deep Learning: Theory and Applications,Computer Science,2013,10.48550/arXiv.0000.00000,Highly Cited,AI architecture breakthrough
2122.00026,GRB 20210027: Multi-wavelength Afterglow Observations,Astronomy,2021,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
1819.00036,CMB B-Mode Polarization Results from BICEP,Cosmology,2018,10.1088/0004-637X/0/0/0,Highly Cited,CMB polarization measurement
0314.40013,Discovery of a Millisecond Pulsar in a Binary System,Astronomy,2003,10.1086/000000,Highly Cited,Millisecond pulsar discovery
0529.00029,Dawn Observations of Europa,Astronomy,2005,10.3847/0004-637X/0/0/0,Highly Cited,Planetary science discovery
astro-ph/9608192,Observational Evidence from Supernovae for an Accelerating Universe,Cosmology,1999,10.1086/300499,Highly Cited,Accelerating universe
1028.00028,Implementation of Quantum Walks on NISQ Devices,Physics,2010,10.1103/PhysRevA.0.000000,Highly Cited,Quantum algorithm implementation
1627.00052,Deep Learning Advances in Drug Discovery,Computer Science,2016,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
2218.00097,Atmospheric Characterization of WASP-17b with Spitzer,Astronomy,2022,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
2217.00093,GW Event 20220093: Compact Binary Coalescence,Physics,2022,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
2103.20016,Discovery of a Transiting Exoplanet Around a G-Type Star,Astronomy,2021,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet discovery transit
1919.00037,CMB B-Mode Polarization Results from Keck Array,Cosmology,2019,10.1088/0004-637X/0/0/0,Highly Cited,CMB polarization measurement
2020.00035,Search for Long-lived Particles in 2020 LHC Data,Physics,2020,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
1612.20008,Dark Matter Search Results from the LZ Experiment,Physics,2016,10.1103/PhysRevLett.0.000000,Highly Cited,Direct dark matter detection
1809.80006,Advances in Deep Learning: Theory and Applications,Computer Science,2018,10.48550/arXiv.0000.00000,Highly Cited,AI architecture breakthrough
0423.00004,Discovery of a New Gamma-Ray Loud Blazar with Fermi-LAT,Astronomy,2004,10.1088/0004-637X/0/0/0,Highly Cited,Blazar discovery
2224.00040,Discovery of Weyl Semimetals: Theory and Experiment,Physics,2022,10.1103/PhysRevB.0.000000,Highly Cited,Quantum material discovery
1718.00020,Atmospheric Characterization of WASP-17b with HST,Astronomy,2017,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
2218.00061,Atmospheric Characterization of TrES-2 with Spitzer,Astronomy,2022,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
1220.00014,Search for Heavy Higgs in 2012 LHC Data,Physics,2012,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
2203.07205,Suppressing Quantum Errors by Scaling a Surface Code Logical Qubit,Physics,2022,10.1038/s41586-022-05434-1,Highly Cited,Surface code scaling
0422.00009,GRB 20040010: Multi-wavelength Afterglow Observations,Astronomy,2004,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
0515.50015,X-ray Observations of the Black Hole Candidate V404 Cyg,Astronomy,2005,10.1086/000000,Highly Cited,Black hole X-ray binary
1003.00001,Kepler Planet-Detection Mission: Introduction and First Results,Astronomy,2010,10.1126/science.1185402,Highly Cited,Kepler first results
1618.00073,Atmospheric Characterization of HAT-P-1b with Spitzer,Astronomy,2016,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
1818.00084,Atmospheric Characterization of WASP-12b with HST,Astronomy,2018,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
1820.00020,Search for Heavy Higgs in 2018 LHC Data,Physics,2018,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
2318.00062,Atmospheric Characterization of WASP-17b with JWST,Astronomy,2023,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
2227.00048,Deep Learning Advances in Image Recognition,Computer Science,2022,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
0122.00035,GRB 20010036: Multi-wavelength Afterglow Observations,Astronomy,2001,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
0812.20000,Dark Matter Search Results from the XENON Experiment,Physics,2008,10.1103/PhysRevLett.0.000000,Highly Cited,Direct dark matter detection
2225.00020,CRISPR-Cas9 for Gene Therapy: Advances and Applications,Biology,2022,10.1126/science.0000000,Highly Cited,CRISPR application
1506.50015,Systematic Analysis of Genomics in Human Disease,Biology,2015,10.1038/nature00000,Highly Cited,Omics breakthrough
9922.00004,GRB 19990005: Multi-wavelength Afterglow Observations,Astronomy,1999,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
1427.00050,Deep Learning Advances in Game Playing,Computer Science,2014,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
1022.00015,GRB 20100016: Multi-wavelength Afterglow Observations,Astronomy,2010,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
1924.00037,Discovery of Nodal Line Semimetals: Theory and Experiment,Physics,2019,10.1103/PhysRevB.0.000000,Highly Cited,Quantum material discovery
1706.01812,GW170104: Observation of a 50-Solar-Mass Binary Black Hole Coalescence,Physics,2017,10.1103/PhysRevLett.118.221101,Highly Cited,Third GW detection
1328.00031,Implementation of Grover Search on NISQ Devices,Physics,2013,10.1103/PhysRevA.0.000000,Highly Cited,Quantum algorithm implementation
1926.00004,Single-Cell RNA Sequencing Reveals Cellular Heterogeneity in Cancer,Biology,2019,10.1038/nature00000,Highly Cited,Single-cell genomics breakthrough
2218.00043,Atmospheric Characterization of HD 209458 b with VLT,Astronomy,2022,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
1527.00001,Deep Learning Advances in Natural Language Processing,Computer Science,2015,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
2117.00017,GW Event 20210017: Compact Binary Coalescence,Physics,2021,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
2002.02404,The Weil Conjectures,Mathematics,2020,10.48550/arXiv.2002.02404,Highly Cited,Weil conjectures
0713.30017,Observations of Supernova SN 2007A: Light Curve and Spectroscopy,Astronomy,2007,10.1086/000000,Highly Cited,Supernova observation
2118.00087,Atmospheric Characterization of HAT-P-1b with VLT,Astronomy,2021,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
0213.30012,Observations of Supernova SN 2002A: Light Curve and Spectroscopy,Astronomy,2002,10.1086/000000,Highly Cited,Supernova observation
0415.50014,X-ray Observations of the Black Hole Candidate SS 433,Astronomy,2004,10.1086/000000,Highly Cited,Black hole X-ray binary
9013.30000,Observations of Supernova SN 1990A: Light Curve and Spectroscopy,Astronomy,1990,10.1086/000000,Highly Cited,Supernova observation
1920.00034,Search for Vector-like Quarks in 2019 LHC Data,Physics,2019,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
2207.11330,First Dark Matter Search with Nuclear Recoils from the LUX-ZEPLIN Experiment,Physics,2022,10.1103/PhysRevLett.131.041002,Highly Cited,LZ first results
1013.30020,Observations of Supernova SN 2010A: Light Curve and Spectroscopy,Astronomy,2010,10.1086/000000,Highly Cited,Supernova observation
0907.60005,Novel Properties of Graphene: Theory and Experiment,Physics,2009,10.1103/PhysRevB.0.000000,Highly Cited,Condensed matter discovery
0815.50018,X-ray Observations of the Black Hole Candidate SS 433,Astronomy,2008,10.1086/000000,Highly Cited,Black hole X-ray binary
2318.00008,Atmospheric Characterization of HD 209458 b with HST,Astronomy,2023,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
0311.10003,CMB Power Spectrum Analysis from SPT Data,Cosmology,2003,10.1088/0004-637X/0/0/0,Highly Cited,CMB analysis
0011.10000,CMB Power Spectrum Analysis from WMAP Data,Cosmology,2000,10.1088/0004-637X/0/0/0,Highly Cited,CMB analysis
2017.00096,GW Event 20200096: Compact Binary Coalescence,Physics,2020,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
0223.00026,Discovery of a New Gamma-Ray Loud Blazar with Fermi-LAT,Astronomy,2002,10.1088/0004-637X/0/0/0,Highly Cited,Blazar discovery
2326.00017,Single-Cell RNA Sequencing Reveals Cellular Heterogeneity in Development,Biology,2023,10.1038/nature00000,Highly Cited,Single-cell genomics breakthrough
9015.50000,X-ray Observations of the Black Hole Candidate Cygnus X-1,Astronomy,1990,10.1086/000000,Highly Cited,Black hole X-ray binary
2201.05110,Fast Radio Burst 20190520B: Host Galaxy and Burst Localizations,Astronomy,2022,10.3847/2041-8213/ac4941,Highly Cited,FRB host galaxy
0811.10008,CMB Power Spectrum Analysis from WMAP Data,Cosmology,2008,10.1088/0004-637X/0/0/0,Highly Cited,CMB analysis
2117.00082,GW Event 20210082: Compact Binary Coalescence,Physics,2021,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
1801.00001,The TESS Input Catalog and Candidate Target List,Astronomy,2018,10.3847/1538-4365/aacb1f,Highly Cited,TESS catalog
2018.00032,Atmospheric Characterization of XO-1b with HST,Astronomy,2020,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
2027.00026,Deep Learning Advances in Game Playing,Computer Science,2020,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
2017.00041,GW Event 20200041: Compact Binary Coalescence,Physics,2020,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
1312.0788,Genome-Scale CRISPR-Cas9 Knockout Screening in Human Cells,Biology,2014,10.1126/science.1247005,Highly Cited,CRISPR screening
1821.00042,Large-Scale Structure from the 6dFGS Survey,Cosmology,2018,10.1088/0004-637X/0/0/0,Highly Cited,Galaxy clustering analysis
2218.00070,Atmospheric Characterization of WASP-12b with JWST,Astronomy,2022,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
1316.60003,Ancient Asian Genomes Reveal Population History,Biology,2013,10.1038/nature00000,Highly Cited,Ancient DNA breakthrough
2020.00061,Search for Dark Matter in 2020 LHC Data,Physics,2020,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
1714.40027,Discovery of a Millisecond Pulsar in a Binary System,Astronomy,2017,10.1086/000000,Highly Cited,Millisecond pulsar discovery
2227.00018,Deep Learning Advances in Image Recognition,Computer Science,2022,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
2005.10324,A Bright Fast Radio Burst from the Host Galaxy of a Luminous Persistent Radio Source,Astronomy,2020,10.1038/s41586-020-2792-9,Highly Cited,FRB persistent source
2326.00026,Single-Cell RNA Sequencing Reveals Cellular Heterogeneity in Immune Response,Biology,2023,10.1038/nature00000,Highly Cited,Single-cell genomics breakthrough
2317.00039,GW Event 20230039: Compact Binary Coalescence,Physics,2023,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
1518.00090,Atmospheric Characterization of WASP-17b with JWST,Astronomy,2015,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
2318.00080,Atmospheric Characterization of HAT-P-1b with HST,Astronomy,2023,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
2127.00027,Deep Learning Advances in Protein Folding,Computer Science,2021,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
1003.20005,Discovery of a Transiting Exoplanet Around a K-Type Star,Astronomy,2010,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet discovery transit
2117.00097,GW Event 20210097: Compact Binary Coalescence,Physics,2021,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
1419.00032,CMB B-Mode Polarization Results from POLARBEAR,Cosmology,2014,10.1088/0004-637X/0/0/0,Highly Cited,CMB polarization measurement
1421.00038,Large-Scale Structure from the Euclid Survey,Cosmology,2014,10.1088/0004-637X/0/0/0,Highly Cited,Galaxy clustering analysis
1805.02725,Distributed and Compensatory Contributions of Subcortical and Cortical Causes to Schizophrenia Liability,Biology,2018,10.1016/j.biopsych.2017.09.023,Highly Cited,Schizophrenia cortical causes
